url,file
ucecelra.com/playoff/panel,/gate.php
185.81.157.19/webadmin,/gate.php
www.condalcopiers.com/wp-admin/includes/panel,/gate.php
a6281279.yolox.net,/gate.php
greenfleld.com/swiss,/gate.php
pogodpogodaev.000webhostapp.com/,/gate.php
nsdic.pp.ru/nans,/gate.php
negotonge.com/bdl,/gate.php
diarif.000webhostapp.com,/gate.php
sarond.000webhostapp.com,/gate.php
opoppp.000webhostapp.com,/gate.php
exasperated-comprom.000webhostapp.com/ranger/sass/bootstrap/mixins/mixins1,/gate.php
sstorm1k.000webhostapp.com/panel,/gate.php
mein-kampf.000webhostapp.com,/gate.php
d2umaha7wj35g2.cloudfront.net,/gate.php
hi-j.com/abt,/gate.php
elnaharmarble.com/zz,/config.bin
d2umaha7wj35g2.cloudfront.net,/gate.php(?uid=564800&ckey=d81da85eae24847476b13f36f0fab171&version=1.0.5&platform=Android&qudao=triwin&gate=land_actionReport&action=roomSpin&step=stopAtOnceFail&uid=564800&unique=ec:1f:72:16:a5:e5)
d2umaha7wj35g2.cloudfront.net,/gate.php(?uid=564800&ckey=d81da85eae24847476b13f36f0fab171&version=1.0.5&platform=Android&qudao=triwin&gate=game_roll&betMoney=200000&poolMoneyArr=&gameKey=seaWorld&isAuto=normal&defaultPaintLineType=1)
panel.anlayacaklar.com/forums/members,/gate.php
thompkinsmarketing.com/pc/p,/gate.php
senglab.info/bot,/config.bin
akamai.com,/gate.php
a0193918.xsph.ru,/config.bin
d2umaha7wj35g2.cloudfront.net,/gate.php(?uid=564800&ckey=d81da85eae24847476b13f36f0fab171&version=1.0.5&platform=Android&qudao=triwin&gate=land_actionReport&action=roomSpin&step=stopAtOnceSuccess&uid=564800&unique=ec:1f:72:16:a5:e5)
stat.labs.altnet.biz/service,/gate.php(?mode=postdata)
cygnusboats.com/administrator/gsdwwk/modules,/config.bin
www.romafoodimpex.com/ideas,/config.bin
google.com/stock,/gate.php
notest.com,/config.bin
dharmaking.info/ponyb,/gate.php
google.com,/gate.php
billyeagles.com/,/gate.php
autoservicegreeley.com/ponyz,/gate.php
googleapis.com,/gate.php
hakz.gq/zeus,/config.bin
entertainingiseasy.com/dir,/config.bin
www.editorachama.com.br/loja/admin/view/javascript/jquery/flot/majezie,/gate.php
nym1.ib.adnxs.com,/gate.php
wseetduly.com/server[php],/config.bin
dfgtruckparts.com/wp-includes/css/po,/gate.php
eazycruise.co/benjamin/pony,/gate.php
